Response variants,Addresser,Sex_addresser,Race_addresser,Relationship,Addressee,Sex_addressee,Race_addressee,Situational Context,Location,Response type
Yeah,wife,F,Caucasian,acquaintance,college student,F,Asian,wife gives confirming answer as husband talks to female student,in street,Affirmation
Yep,wife,F,Caucasian,acquaintance,college student,F,Asian,This student is touring a couple on campus,in street,Affirmation
oh yeah,woman,F,,friend,man,M,,,in street,Affirmation
No,college student,F,Caucasian,friend,college student,M,Caucasian,,outside MLK,Declination
alright,college student,M,Caucasian,friend,college student,F,Caucasian,,outside MLK,Affirmation
Yeah,Amazon help desk,M,Caucasian,customer,Me,M,Chinese,,in MLK,Affirmation
Sure,Amazon help desk,M,Caucasian,customer,Me,M,Chinese,,in MLK,Affirmation
Yeah,MLK help desk,M,Caucasian,customer,Me,M,Chinese,Do you know where the bathroom is?,in MLK,Affirmation
"No, sorry",MLK help desk,M,Caucasian,customer,Me,M,Chinese,Do you have any tissues?,in MLK,Declination
Yeah,woman,F,Caucasian,friend,woman,F,Caucasian,,in MLK,Affirmation
Yeah,woman,F,Caucasian,friend,woman,F,Caucasian,,in MLK,Affirmation
Mm,woman,F,Caucasian,friend,woman,F,Caucasian,,in MLK,Affirmation
No,woman,F,Caucasian,friend,woman,F,Caucasian,,in MLK,Declination
right,woman,F,Caucasian,friend,woman,F,Caucasian,,in MLK,Affirmation
yes,college student,F,n/a,friend,college student,M,n/a,,outside GBC,Affirmation
yeah,college student,M,n/a,friend,college student,F,n/a,,outside GBC,Affirmation
okay,college student,F,n/a,friend,college student,F,n/a,,outside GBC,Affirmation
Yeah,college student,M,Chinese,friend,college student,F,Chinese,,restaurant,Affirmation
yeah,college student,F,Chinese,friend,college student,M,Chinese,,restaurant,Affirmation
oh yeah,customer,M,Black,customer,restaurant cashier,F,Vietnamese,,restaurant,Affirmation
okay,restaurant cashier,F,Vietnamese,customer,Me,M,Chinese,,restaurant,Affirmation
oh yeah,customer,M,Black,customer,restaurant cashier,F,Vietnamese,"She always asks ""do you want…""",restaurant,Affirmation
Yeah,college student,F,Caucasian,friend,college student,F,Caucasian,"white F friends, said yeah 4x in 1 min",street,Affirmation
Yeah,college student,F,Caucasian,friend,college student,F,Caucasian,,street,Affirmation
Yeah,college student,F,Caucasian,friend,college student,F,Caucasian,,street,Affirmation
Yeah,college student,F,Caucasian,friend,college student,F,Caucasian,,street,Affirmation
Yes,college student,M,Chinese,friend,college student,F,Chinese,"more definite answer, conclusive tone",outside GBC,Affirmation
Yeah,college student,F,Caucasian,parent,father,M,Caucasian,,outside GBC,Affirmation
"well, yeah",father,M,Caucasian,parent,college student,F,Caucasian,,outside GBC,Affirmation
yeah,father,M,Caucasian,parent,college student,F,Caucasian,,outside GBC,Affirmation
yeah,college student,M,,,,,,"on the phone, walking by",outside GBC,Affirmation
"ew, no",college student,F,Caucasian,friend,group of Caucasian friends,,,,outside GBC,Declination
yeah,photographer student,F,Asian,friend,college student,F,Asian,,outside GBC,Affirmation
yeah,Amanda,F,Chinese,friend,Me,M,Chinese,,phone call,Affirmation
yeah,Amanda,F,Chinese,friend,Me,M,Chinese,,phone call,Affirmation
yeah,Amanda,F,Chinese,friend,Me,M,Chinese,,phone call,Affirmation
yeah,Amanda,F,Chinese,friend,Me,M,Chinese,,phone call,Affirmation
No,Amanda,F,Chinese,friend,Me,M,Chinese,,phone call,Declination
yeah,Amanda,F,Chinese,friend,Me,M,Chinese,,phone call,Affirmation
yeah,college student,F,Caucasian,friend,college student,F,Caucasian,,in MLK,Affirmation
yeah,college student,M,Caucasian,friend,college student,F,Indian,,in MLK,Affirmation
yeah,college student,M,Caucasian,friend,college student,F,Indian,,in MLK,Affirmation
"yeah, there we go",college student,F,Asian,friend,college student,M,Asian,,in MLK,Affirmation
okay,college student,F,Indian,friend,college student,M,Caucasian,,in MLK,Affirmation
yeah,college student,F,Asian,friend,college student,M,Asian,,in MLK,Affirmation
okay,college student,F,Asian,friend,college student,M,Asian,,in MLK,Affirmation
but yeah,college student,M,Asian,friend,college student,M,Asian,,in MLK,Affirmation
yes,college student,M,Hispanic,friend,college student,M,Hispanic,,in MLK,Affirmation
mm-hmm,college student,M,Hispanic,friend,college student,M,Hispanic,,in MLK,Affirmation
"yeah, yeah, yeah",college student,M,Hispanic,friend,college student,M,Hispanic,,in MLK,Affirmation
yeah,college student,M,Hispanic,friend,college student,M,Hispanic,,in MLK,Affirmation
yep,college student,F,Hispanic,friend,college student,M,Hispanic,,in MLK,Affirmation
yeah,college student,M,n/a,"on the phone, walking by",,,n/a,"on the phone, walking by",in MLK,Affirmation
yeah,college student,F,n/a,friend,college student,M,n/a,,in MLK,Affirmation
yeah,college student,M,n/a,friend,college student,F,n/a,,in MLK,Affirmation
yeah,college student,F,Indian,friend,college student,M,Caucasian,,in MLK,Affirmation
yeah,college student,F,Indian,friend,college student,M,Caucasian,,in MLK,Affirmation
"okay, yeah",college student,F,Indian,friend,college student,M,Caucasian,talking about correctness of an answer,in MLK,Affirmation
yeah,college student,F,Indian,friend,college student,M,Caucasian,,in MLK,Affirmation
yeah,college student,M,Caucasian,friend,college student,F,Indian,,in MLK,Affirmation
yeah,college student,M,Hispanic,friend,college student,M,Hispanic,,in MLK,Affirmation
yeah,college student,M,Hispanic,friend,college student,M,Hispanic,,in MLK,Affirmation
yeah,college student,M,Hispanic,friend,college student,M,Hispanic,,in MLK,Affirmation
yeah,college student,M,Hispanic,friend,college student,M,Hispanic,,in MLK,Affirmation
"ohhh, okay",college student,M,Hispanic,friend,college student,M,Hispanic,,in MLK,Affirmation
Mm,college student,M,Hispanic,friend,college student,M,Hispanic,(yes response),in MLK,Affirmation
"Oh, no",college student,M,Hispanic,friend,college student,M,Hispanic,,in MLK,Declination
"Oh, yeah",college student,M,Hispanic,friend,college student,M,Hispanic,,in MLK,Affirmation
"Yeahhh, yeah",college student,M,Hispanic,friend,college student,M,Hispanic,,in MLK,Affirmation
yeah,college student,F,Indian,friend,college student,M,Caucasian,,in MLK,Affirmation
"Oh, okay",college student,F,Chinese,friend,college student,M,Chinese,,in MLK,Affirmation
"oh yes, yes",college student,F,Chinese,friend,college student,M,Chinese,,in MLK,Affirmation
Uh-huh,college student,F,Chinese,friend,college student,M,Chinese,,in MLK,Affirmation
"No, no, no",college student,M,Chinese,friend,college student,F,Chinese,,in MLK,Declination
Yeah,college student,F,Indian,friend,college student,M,Indian,,in MLK,Affirmation
No,college student,M,Indian,friend,college student,F,Indian,,in MLK,Declination
"Oh, yeah",college student,M,Hispanic,friend,college student,M,Hispanic,asserting familiarity with the topic,in MLK,Affirmation
yes,college student,F,Chinese,friend,college student,M,Chinese,,in MLK,Affirmation
yeah,college student,F,Chinese,friend,college student,M,Chinese,,in MLK,Affirmation
"uh, yeah",college student,F,Chinese,friend,college student,M,Chinese,,in MLK,Affirmation
yes,college student,F,Chinese,friend,college student,M,Chinese,,in MLK,Affirmation
"yeah, so",college student,M,Asian,friend,college student,F,Asian,,in MLK,Affirmation
yeah,college student,F,Chinese,friend,college student,M,Chinese,,in MLK,Affirmation
yeah,Justin Hoong,M,Chinese,good friend,Me,M,Chinese,late night conversation,in apartment,Affirmation
yeah,Jenny Kim,F,Korean,friend,Me,M,Chinese,late night conversation,in apartment,Affirmation
yeah,Jenny Kim,F,Korean,friend,Me,M,Chinese,late night conversation,in apartment,Affirmation
yeah,Jenny Kim,F,Korean,friend,Me,M,Chinese,late night conversation,in apartment,Affirmation
yeah,Ethan,M,Chinese,friend,Me,M,Chinese,,in apartment,Affirmation
yeah,Ethan,M,Chinese,friend,Me,M,Chinese,,in apartment,Affirmation
yeah,Ethan,M,Chinese,friend,Jonathan,M,Chinese,,in apartment,Affirmation
Yeah,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
Yeah,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
Yeah,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
Yeah,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
No,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Declination
Mm-hmm,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
"yeah,yeah,yeah",Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
Okay,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
Okay,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
No,Ling150 student,F,n/a,fellow student,Me,M,Chinese,,in class,Declination
No,Joseph Park,M,Korean,good friend,Me,M,Chinese,,in class,Declination
Nope,Ethan,M,Chinese,good friend,Me,M,Chinese,,in apartment,Declination
Nah,Tim Newman,M,Caucasian,good friend,Me,M,Chinese,,in class,Declination
"No, it’s okay ",Vincent,M,Chinese,good friend,Jonathan,M,Chinese,request,in apartment,Declination
"Naw, it's fine",Me,M,Chinese,good friend,Vincent,M,Chinese,,in apartment,Declination
Not really..,Tim Newman,M ,Caucasian,good friend,Me,M,Chinese,,in class,Declination
No,Confused student,F,Indian,teaching,TA,M,Caucasian,,in class,Declination
No,Tim Newman,M,Caucasian,good friend,Me,M,Chinese,,in class,Declination
No,Tim Newman,M,Caucasian,good friend,Me,M,Chinese,,in class,Declination
"mmm, not sure ",Charis,F,Asian,fellow student,Me,M,Chinese,,in class,Declination
Nah,student,F,n/a,teaching,TA,M,n/a,,in class,Declination
No,student,M,n/a,fellow student,student,M,n/a,,in class,Declination
no,Tim Newman,M,Caucasian,good friend,Me,M,Chinese,,in class,Declination
no,Sarah,F,Asian,teaching,Me,M,Chinese,,in class,Declination
No,Ethan,M,Asian,good friend,Me,M,Asian,,in class,Declination
no,Jenny Kim,F,Asian,friend,Me,M,Asian,,in apartment,Declination
no,Gwen,F,Asian,good friend,Me,M,Asian,,phone call,Declination
yeah,student,F,Asian,friend,student,M,Asian,,in class,Affirmation
yeah,student,F,Hispanic,friend,student,F,Hispanic,,in class,Affirmation
yeah,man,M,Caucasian,n/a,woman,F,Chinese,,RSF,Affirmation
yeah,student,M,Indian,friend,student,M,Black,,RSF,Affirmation
mm-hmm,student,M,Indian,friend,student,M,Black,,RSF,Affirmation
